id,pop,lat,lon,year,sex,age,svl,weight,species
AA24460,Gundaroo,-35.32425057,149.3500609,2016,u,SA,39.8,4.54,Tympanocryptis lineata
AA24278,Tuggeranong,-35.44026677,149.0472384,2010,M,,NA,NA,Tympanocryptis lineata
AA24132,Tuggeranong,-35.42472156,149.0534576,2007,M,A,55.1,4.49,Tympanocryptis lineata
AA24033,Tuggeranong,-35.43124017,149.0417774,2006,M,SA,44.3,4.39,Tympanocryptis lineata
AA24133,Gundaroo,-35.33451612,149.3510684,2007,F,A,65,5.06,Tympanocryptis lineata
AA24034,Tuggeranong,-35.44648004,149.052689,2006,M,A,74.8,5.62,Tympanocryptis lineata
AA24223,Tuggeranong,-35.43481308,149.0546841,2009,M,A,64.3,6.12,Tympanocryptis lineata
AA24461,Gundaroo,-35.32363377,149.3549516,2016,M,A,50.8,5.95,Tympanocryptis lineata
AA24224,Gundaroo,-35.32060385,149.3548626,2009,J,J,30.5,2.36,Tympanocryptis lineata
AA24462,Tuggeranong,-35.44189061,149.0525065,2016,M,A,70.1,5.36,Tympanocryptis lineata
AA24346,Gundaroo,-35.31026653,149.3510766,2013,M,SA,46.8,4.67,Tympanocryptis lineata
AA24347,Gundaroo,-35.33942874,149.3435004,2013,U,J,25.3,2.88,Tympanocryptis lineata
AA24225,Tuggeranong,-35.43965565,149.0412254,2009,J,J,33.4,3.4,Tympanocryptis lineata
AA24226,Gundaroo,-35.33127335,149.3301488,2009,F,A,79.5,5.9,Tympanocryptis lineata
AA24227,Tuggeranong,-35.45359192,149.0554018,2009,J,J,22.3,3.7,Tympanocryptis lineata
AA24463,Gundaroo,-35.3402818,149.3274799,2016,M,A,68.9,5.05,Tympanocryptis lineata
AA24568,Googong,-35.43626542,149.2243289,2020,,SA,41.8,4.52,Tympanocryptis lineata
AA24228,Tuggeranong,-35.43172547,149.0214163,2009,M,A,51.4,6.25,Tympanocryptis lineata
AA24181,Tuggeranong,-35.43053616,149.0489235,2008,M,SA,44.1,3.3,Tympanocryptis lineata
AA24279,Tuggeranong,-35.44867142,149.0326802,2010,M,,NA,NA,Tympanocryptis lineata
AA24229,Tuggeranong,-35.44541283,149.0515164,2009,F,SA,46,4.43,Tympanocryptis lineata
AA24464,Gundaroo,-35.3167588,149.3374943,2016,u,J,28.1,3.36,Tympanocryptis lineata
AA24465,Gundaroo,-35.32502259,149.3261218,2016,u,J,37.3,2.84,Tympanocryptis lineata
AA24230,Tuggeranong,-35.44982237,149.0463338,2009,M,SA,42.6,3.66,Tympanocryptis lineata
AA24466,Gundaroo,-35.32612727,149.3305873,2016,u,J,32.3,2.9,Tympanocryptis lineata
AA24035,Tuggeranong,-35.42746818,149.0291397,2006,M,SA,39.4,3.46,Tympanocryptis lineata
AA24231,Tuggeranong,-35.43708834,149.0274782,2009,F,A,71.1,6.29,Tympanocryptis lineata
AA24348,Gundaroo,-35.34289512,149.3393756,2013,U,J,20.1,2.36,Tympanocryptis lineata
AA24290,Tuggeranong,-35.43542082,149.0680122,2011,J,,NA,NA,Tympanocryptis lineata
AA24036,Tuggeranong,-35.43542975,149.0489261,2006,M,SA,41.2,4.45,Tympanocryptis lineata
AA24519,Googong,-35.44365888,149.2293918,2018,,J,37.1,3.28,Tympanocryptis lineata
AA24037,Tuggeranong,-35.44827597,149.0354243,2006,M?,SA,44.6,3.98,Tympanocryptis lineata
AA24467,Gundaroo,-35.3284478,149.3459704,2016,u,J,24.2,3.25,Tympanocryptis lineata
AA24038,Tuggeranong,-35.43279688,149.0488423,2006,F?,A,59.6,6.29,Tympanocryptis lineata
AA24134,Tuggeranong,-35.46037704,149.0467792,2007,M,A,82.9,6.07,Tympanocryptis lineata
AA24135,Tuggeranong,-35.44258058,149.0583554,2007,M,A,60.3,4.91,Tympanocryptis lineata
AA24136,Tuggeranong,-35.43240047,149.0454676,2007,F,SA,46,4.24,Tympanocryptis lineata
AA24039,Tuggeranong,-35.45626203,149.038901,2006,F?,A,81.7,5.1,Tympanocryptis lineata
AA24468,Gundaroo,-35.31243745,149.3355487,2016,u,J,21.8,2.25,Tympanocryptis lineata
AA24232,Gundaroo,-35.32088994,149.3589268,2009,F,A,76.4,5.24,Tympanocryptis lineata
AA24040,Tuggeranong,-35.43109707,149.0443563,2006,M,A,77.9,5.37,Tympanocryptis lineata
AA24041,Tuggeranong,-35.44470602,149.051829,2006,F,A,52.7,5.8,Tympanocryptis lineata
AA24042,Tuggeranong,-35.46399882,149.0410947,2006,F,SA,46.2,3.93,Tympanocryptis lineata
